TYPE;CODE_INSEE;CODE_ORIG;NUM;NOM_ETABLISSEMENT;NUMÉRO_ET_LIBELLÉ_VOIE;LIEU_DIT;CODE_POSTAL;LIGNE_D_ACHEMINEMENT;PAYS_OU_DÉNOMINATION_TOM_COM;COORDONNÉES_X;COORDONNÉES_Y;NU_TEL;ADRESSE_MAIL
CCD;11069;9;67389;Cour Criminelle Départementale de l'Aude;28 BOULEVARD JEAN JAURES;;11000;CARCASSONNE;;2.354735;43.214898;04 68 10 37 37;
CDAD;11069;9;58970;Conseil départemental d'accès au droit de l'Aude;28 BOULEVARD JEAN-JAURES;;11000;CARCASSONNE;;2.354735;43.214898;0468470000;cdad-aude@justice.fr
CPH;11069;1;965;Conseil de Prud'hommes de Carcassonne;28 BOULEVARD JEAN-JAURES;;11000;CARCASSONNE;;2.354735;43.214898;0434424900;cph-carcassonne@justice.fr
TBRTJ;11069;9;63519;Tribunal Paritaire des Baux Ruraux de Carcassonne;28 BOULEVARD JEAN-JAURES;;11000;CARCASSONNE;;2.354735;43.214898;0434424900;
TCO;11069;1;245;Tribunal de Commerce de Carcassonne;34 RUE DE STRASBOURG;;11000;CARCASSONNE;;2.356917;43.214822;0468112730;
TGI;11262;1;55;Tribunal judiciaire de Narbonne;19 BD DU GENERAL DE GAULLE;;11100;NARBONNE;;3.009485;43.186118;0434446060;accueil-narbonne@justice.fr
TE;11262;9;20278;Tribunal pour Enfants de Narbonne;40 BD DU GENERAL DE GAULLE;;11100;NARBONNE;;3.00873;43.184566;0468327155;
CPH;11262;1;966;Conseil de Prud'hommes de Narbonne;40 BD DU GENERAL DE GAULLE;;11100;NARBONNE;;3.00873;43.184566;0434446150;cph-narbonne@justice.fr
TBRTJ;11262;9;63521;Tribunal Paritaire des Baux Ruraux de Narbonne;19 BD DU GENERAL DE GAULLE;;11100;NARBONNE;;3.009485;43.186118;0434446070;
TCO;11262;1;248;Tribunal de Commerce de Narbonne;40 BD DU GENERAL DE GAULLE;;11100;NARBONNE;;3.00873;43.184566;0468320176;
TE;12202;1;2215;Tribunal pour Enfants de Rodez;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;0565734300;
TGI;12202;1;57;Tribunal judiciaire de Rodez;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;0565734300;accueil-rodez@justice.fr
CASS;12202;9;2233;Cour d'Assises de l'Aveyron;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;0565734300;
CCD;12202;9;67390;Cour Criminelle Départementale de l'Aveyron;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;05 65 73 43 00;
CDAD;12202;9;59028;Conseil départemental d'accès au droit de l'Aveyron;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;0565734300;cdad-aveyron@justice.fr
CPH;12202;1;969;Conseil de Prud'hommes de Rodez;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;0565734300;cph-rodez@justice.fr
TBRTJ;12202;9;63525;Tribunal Paritaire des Baux Ruraux de Rodez;BOULEVARD DE GUIZARD;;12000;RODEZ;;2.572543;44.349064;0565734300;
TCO;12202;1;251;Tribunal de Commerce de Rodez;BD PIERRE BENOIT;;12000;RODEZ;;2.571935;44.349161;0565735610;
CPH;12145;1;968;Conseil de Prud'hommes de Millau;2 BOULEVARD DE L'AYROLLE;;12100;MILLAU;;3.077553;44.099216;0565614800;cph-millau@justice.fr
TBRTJ;12145;9;63523;Tribunal Paritaire des Baux Ruraux de Millau;2 BOULEVARD DE L'AYROLLE;;12100;MILLAU;;3.077553;44.099216;0565614800;
TPRX;12145;9;63028;Tribunal de proximité de Millau;2 BOULEVARD DE L'AYROLLE;;12100;MILLAU;;3.077553;44.099216;0565614800;tprx-millau@justice.fr
TA;13206;9;3915;Tribunal Administratif de Marseille;31 RUE FRANCOIS LECA;;13002;MARSEILLE;;5.363591;43.301864;0491134813;greffe.ta-marseille@juradm.fr
TE;13206;1;2229;Tribunal pour Enfants de Marseille;6 RUE JOSEPH AUTRAN;;13006;MARSEILLE;;5.37384;43.291025;0491155050;
TGI;13206;1;59;Tribunal judiciaire de Marseille;6 RUE JOSEPH AUTRAN;;13006;MARSEILLE;;5.37384;43.291025;0491155050;accueil-marseille@justice.fr
CAA;13206;9;19320;Cour Administrative d'Appel de Marseille;45 BOULEVARD PAUL PEYTRAL;;13006;MARSEILLE;;5.378817;43.289867;0491044545;greffe.caa-marseille@juradm.fr
CDAD;13206;9;59004;Conseil départemental d'accès au droit des Bouches-du-Rhône;6 RUE JOSEPH AUTRAN;;13006;MARSEILLE;;5.37384;43.291025;0491155392;
TAE;13206;9;79909;Tribunal des activités économiques de Marseille;2 RUE EMILE POLLAK;;13006;MARSEILLE;;5.374258;43.291137;0491547040;
TBRTJ;13206;9;63385;Tribunal Paritaire des Baux Ruraux de Marseille;PLACE MONTHYON;;13006;MARSEILLE;;5.383861;43.286265;0491155050;
CPH;13207;1;972;Conseil de Prud'hommes de Marseille;6 RUE RIGORD;;13007;MARSEILLE;;5.370844;43.291506;0491136200;cph-marseille@justice.fr
CPH;13001;1;970;Conseil de Prud'hommes d'Aix-en-Provence;2 BIS IMPASSE DES FRERES PRATESI;;13100;AIX EN PROVENCE;;5.4255;43.5263;0442933505;cph-aix-en-provence@justice.fr
TE;13001;1;2222;Tribunal pour Enfants d'Aix-en-Provence;40 BOULEVARD CARNOT;;13100;AIX EN PROVENCE;;5.455982;43.527333;0465861100;tpe.tj-aix-en-provence@justice.fr
TGI;13001;1;58;Tribunal judiciaire d'Aix-en-Provence;40 BOULEVARD CARNOT;;13100;AIX EN PROVENCE;;5.455982;43.527333;0465861000;tj1-aix-en-provence@justice.fr
CA;13001;1;1;Cour d'Appel d'Aix-en-Provence;20 PLACE DE VERDUN;;13100;AIX EN PROVENCE;;5.451101;43.528063;0442338000;
CASS;13001;1;1893;Cour d'Assises des Bouches-du-Rhône;20 PLACE DE VERDUN;;13100;AIX EN PROVENCE;;5.451101;43.528063;0442338000;
CCD;13001;9;67392;Cour Criminelle Départementale des Bouches-du-Rhône;20 PLACE DE VERDUN;;13100;AIX EN PROVENCE;;5.451101;43.528063;04 42 33 80 00;
TBRTJ;13001;9;63381;Tribunal Paritaire des Baux Ruraux d'Aix-en-Provence;32A BOULEVARD EMILE ZOLA;;13100;AIX EN PROVENCE;;5.453947;43.532742;0442175500;
TCO;13001;1;253;Tribunal de Commerce d'Aix-en-Provence;38 COURS MIRABEAU;;13100;AIX EN PROVENCE;;5.448525;43.526701;0442377614;
TE;13108;9;15270;Tribunal pour Enfants de Tarascon;28 ALLEE DU GL JENNINGS KILMAINE;;13150;TARASCON;;4.66147;43.800912;0488658156;
TGI;13108;1;60;Tribunal judiciaire de Tarascon;28 ALLEE DU GL JENNINGS KILMAINE;;13150;TARASCON;;4.66147;43.800912;0488658200;accueil-tarascon@justice.fr
TBRTJ;13108;9;63391;Tribunal Paritaire des Baux Ruraux de Tarascon;28 ALLEE DU GL JENNINGS KILMAINE;;13150;TARASCON;;4.66147;43.800912;0490914989;
TCO;13108;1;257;Tribunal de Commerce de Tarascon;28 ALLEE DU GL JENNINGS KILMAINE;;13150;TARASCON;;4.66147;43.800912;0490914600;
CPH;13004;1;971;Conseil de Prud'hommes d'Arles;25 boulevard Georges Clémenceau;;13200;ARLES;;4.624277;43.674731;0490520870;accueil-arles@justice.fr 
TBRTJ;13103;9;63389;Tribunal Paritaire des Baux Ruraux de Salon-de-Provence;481 BOULEVARD DE LA REPUBLIQUE;;13300;SALON DE PROVENCE;;5.089031;43.640426;0490560546;
TCO;13103;1;256;Tribunal de Commerce de Salon-de-Provence;481 BOULEVARD DE LA REPUBLIQUE;;13300;SALON DE PROVENCE;;5.089031;43.640426;0490560356;
TPRX;13103;9;63058;Tribunal de proximité de Salon-de-Provence;481 BOULEVARD DE LA REPUBLIQUE;;13300;SALON DE PROVENCE;;5.089031;43.640426;0490560546;tprx-salon-de-provence@justice.fr
TBRTJ;13005;9;63383;Tribunal Paritaire des Baux Ruraux d'Aubagne;AVENUE DE VERDUN;;13400;AUBAGNE;;5.578374;43.28792;0442820188/479;
TPRX;13005;9;62963;Tribunal de proximité d'Aubagne;AVENUE DE VERDUN;;13400;AUBAGNE;;5.578374;43.28792;0442820188;accueil-aubagne@justice.fr
CPH;13056;1;973;Conseil de Prud'hommes de Martigues;40 AVENUE DE LA PAIX;;13500;MARTIGUES;;5.047221;43.405754;0442804553;cph-martigues@justice.fr
TBRTJ;13056;9;63387;Tribunal Paritaire des Baux Ruraux de Martigues;PLACE DE LA LIBERATION;;13500;MARTIGUES;;5.05455;43.404974;0442135013;
TPRX;13056;9;63023;Tribunal de proximité de Martigues;40 AVENUE DE LA PAIX;;13500;MARTIGUES;;5.047221;43.405754;0442135013;tprx-martigues@justice.fr
TE;14118;1;2241;Tribunal pour Enfants de Caen;11 RUE DUMONT D'URVILLE;;14000;CAEN;;-0.348159;49.183472; 0250101300;
TGI;14118;1;61;Tribunal judiciaire de Caen;11 RUE DUMONT D'URVILLE;;14000;CAEN;;-0.348159;49.183472;0250101300;accueil-caen@justice.fr
CA;14118;1;2;Cour d'Appel de Caen;PLACE GAMBETTA;;14000;CAEN;;-0.364926;49.179202;0231307000;ca-caen@justice.fr
CASS;14118;1;1898;Cour d'Assises du Calvados;PLACE GAMBETTA;;14000;CAEN;;-0.364926;49.179202;0231307059/00;
CCD;14118;9;62841;Cour Criminelle Départementale du Calvados;PLACE GAMBETTA;;14000;CAEN;;-0.364926;49.179202;0231307059/00;
CDAD;14118;9;58968;Conseil départemental d'accès au droit du Calvados;11 RUE DUMONT D'URVILLE;;14000;CAEN;;-0.348159;49.183472;0250101307;contact@cdad14.fr
CPH;14118;1;975;Conseil de Prud'hommes de Caen;PLACE GAMBETTA;;14000;CAEN;;-0.364926;49.179202;0231307073;cph-caen@justice.fr
TA;14118;9;3917;Tribunal Administratif de Caen;3 RUE ARTHUR LE DUC;;14000;CAEN;;-0.359219;49.177555;0231707272;greffe.ta-caen@juradm.fr
TBRTJ;14118;9;63402;Tribunal Paritaire des Baux Ruraux de Caen;11 RUE DUMONT D'URVILLE;;14000;CAEN;;-0.348159;49.183472;0250101150;
TCO;14118;1;259;Tribunal de Commerce de Caen;PLACE GAMBETTA;;14000;CAEN;;-0.364926;49.179202;0231854000;
TGI;14366;1;62;Tribunal judiciaire de Lisieux;11 RUE D'ORIVAL;;14100;LISIEUX;;0.22866;49.137523;0214110200;accueil.tj-lisieux@justice.fr
CPH;14366;1;977;Conseil de prud'hommes de Lisieux;11 RUE D'ORIVAL;;14100;LISIEUX;;0.22866;49.137523;0214110200;cph-lisieux@justice.fr
TBRTJ;14366;9;63404;Tribunal Paritaire des Baux Ruraux de Lisieux;11 RUE D'ORIVAL;;14100;LISIEUX;;0.22866;49.137523;0231620731;
TCO;14366;1;263;Tribunal de Commerce de Lisieux;11 RUE D'ORIVAL;;14100;LISIEUX;;0.22866;49.137523;0214110259;accueil@greffe-tc-lisieux.fr
TE;62765;1;2932;Tribunal pour Enfants de Saint-Omer;3 RUE DES TRIBUNAUX;;14220;ST OMER;;2.253435;50.748124;0321987970;
CASS;62765;9;583;Cour d'Assises du Pas-de-Calais;3 RUE DES TRIBUNAUX;;14220;ST OMER;;2.253435;50.748124;0321987970;
CPH;62765;1;1118;Conseil de Prud'hommes de Saint-Omer;2 RUE DE L'ECU D'ARTOIS;;14220;ST OMER;;2.250651;50.752902;0321939278;da.cph-st-omer@justice.fr
TBRTJ;62765;9;63676;Tribunal Paritaire des Baux Ruraux de Saint-Omer;3 RUE DES TRIBUNAUX;;14220;ST OMER;;2.253435;50.748124;0321120700;
TBRTJ;14762;9;63406;Tribunal Paritaire des Baux Ruraux de Vire Normandie;4 RUE RAYMOND BERTHOUT;VIRE;14500;VIRE NORMANDIE;;-0.818969;48.781639;0231674440;
TPRX;14762;9;63078;Tribunal de proximité de Vire Normandie;4 RUE RAYMOND BERTHOUT;VIRE;14500;VIRE NORMANDIE;;-0.818969;48.781639;0231674440;tprx-vire@justice.fr
TE;15014;1;2255;Tribunal pour Enfants d'Aurillac;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471455959;
TGI;15014;1;63;Tribunal judiciaire d'Aurillac;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471455959;accueil.aurillac@justice.fr
CASS;15014;9;2231;Cour d'Assises du Cantal;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471455959;
CCD;15014;9;67393;Cour Criminelle Départementale du Cantal;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;04 71 45 59 59;
CDAD;15014;9;58954;Conseil départemental d'accès au droit du Cantal;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471455959;cdad15@orange.fr
CPH;15014;1;980;Conseil de Prud'hommes d'Aurillac;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471487444;cph-aurillac@justice.fr
TBRTJ;15014;9;63684;Tribunal Paritaire des Baux Ruraux d'Aurillac;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471488800;
TCO;15014;1;265;Tribunal de Commerce d'Aurillac;21 PLACE DU SQUARE;;15000;AURILLAC;;2.44274;44.928871;0471481454;
TBRTJ;15187;9;63686;Tribunal Paritaire des Baux Ruraux de Saint-Flour;1 RUE DU THEATRE;;15100;ST FLOUR;;3.090935;45.033173;0471600375;
TPRX;15187;9;63000;Tribunal de proximité de Saint-Flour;1 RUE DU THEATRE;;15100;ST FLOUR;;3.090935;45.033173;0471600375;tprx-st-flour@justice.fr
TE;16015;1;2264;Tribunal pour Enfants d'Angoulême;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;0545371147;
TGI;16015;1;64;Tribunal judiciaire d'Angoulême;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;0545371100;
CASS;16015;9;2230;Cour d'Assises de la Charente;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;0545371100;
CCD;16015;9;67395;Cour Criminelle Départementale de la Charente;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;05 45 37 11 00;
CDAD;16015;9;58951;Conseil départemental d'accès au droit de Charente;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;0545371100;Cdad.charente@orange.fr
CPH;16015;1;981;Conseil de Prud'hommes d'Angoulême;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;0545371100;accueil-angouleme@justice.fr
TBRTJ;16015;9;63503;Tribunal Paritaire des Baux Ruraux d'Angoulême;PLACE FRANCIS LOUVEL;;16000;ANGOULEME;;0.15417;45.649389;0545371160;
TCO;16015;1;267;Tribunal de Commerce d'Angoulême;13 RUE PLACE DU CHAMPS DE MARS;;16000;ANGOULEME;;0.162185;45.649157;0545926603;
TBRTJ;16102;9;63505;Tribunal Paritaire des Baux Ruraux de Cognac;3 RUE PIERRE MARTIN CIVAT;;16100;COGNAC;;-0.328175;45.692032;0545820675;
TPRX;16102;9;62985;Tribunal de proximité de Cognac;3 RUE PIERRE MARTIN CIVAT;;16100;COGNAC;;-0.328175;45.692032;0547339300;tprx-cognac@justice.fr
TE;17300;9;20275;Tribunal pour Enfants de La Rochelle;10 RUE DU PALAIS;;17000;LA ROCHELLE;;-1.153676;46.159671;0517839370;
TGI;17300;1;66;Tribunal judiciaire de La Rochelle;10 RUE DU PALAIS;;17000;LA ROCHELLE;;-1.153676;46.159671;0517839370;accueil-la-rochelle@justice.fr
CDAD;17300;9;58992;Conseil départemental d'accès au droit de la Charente Maritime;10 RUE DU PALAIS;;17000;LA ROCHELLE;;-1.153676;46.159671;0546508710;cdad-charente-maritime@justice.fr
CPH;17300;1;984;Conseil de Prud'hommes de La Rochelle;6 RUE EUGENE THOMAS;;17000;LA ROCHELLE;;-1.145661;46.156034;0516195500;cph-la-rochelle@justice.fr
TBRTJ;17300;9;63821;Tribunal Paritaire des Baux Ruraux de La Rochelle;67 RUE DE JERICHO;;17000;LA ROCHELLE;;-1.166461;46.167164;0546276364;
TCO;17300;1;272;Tribunal de Commerce de La Rochelle;14 RUE DU PALAIS;;17000;LA ROCHELLE;;-1.153804;46.159242;0546413465;
TE;17415;9;41596;Tribunal pour Enfants de Saintes;SQUARE MARECHAL FOCH;;17100;SAINTES;;-0.63488;45.747489;0546927227;
TGI;17415;1;67;Tribunal judiciaire de Saintes;SQUARE MARECHAL FOCH;;17100;SAINTES;;-0.63488;45.747489;0517283900;accueil.tj-saintes@justice.fr
CASS;17415;9;2228;Cour d'Assises de la Charente-Maritime;SQUARE MARECHAL FOCH;;17100;SAINTES;;-0.63488;45.747489;0546927227;
CCD;17415;9;67394;Cour Criminelle Départementale de la Charente-Maritime;SQUARE MARECHAL FOCH;;17100;SAINTES;;-0.63488;45.747489;05 46 92 72 27;
CPH;17415;1;985;Conseil de Prud'hommes de Saintes;Square du Maréchal Foch;;17100;SAINTES;;-0.634881;45.747581;0517283900;cph-saintes@justice.fr
TBRTJ;17415;9;63823;Tribunal Paritaire des Baux Ruraux de Saintes;8 IMPASSE DES CORDELIERS;;17100;SAINTES;;-0.634364;45.748475;0546931002;
TCO;17415;1;274;Tribunal de Commerce de Saintes;2 IMPASSE DES CORDELIERS;;17100;SAINTES;;-0.634401;45.747954;0546930102;
CPH;17299;1;983;Conseil de Prud'hommes de Rochefort;26 RUE ANTOINE CHANZY;;17300;ROCHEFORT;;-0.959112;45.940954;0517261260;cph-rochefort-sur-mer@justice.fr
TBRTJ;17299;9;63819;Tribunal Paritaire des Baux Ruraux de Rochefort;26 RUE ANTOINE CHANZY;;17300;ROCHEFORT;;-0.959112;45.940954;0516656000;
TPRX;17299;9;63055;Tribunal de proximité de Rochefort;26 RUE ANTOINE CHANZY;;17300;ROCHEFORT;;-0.959112;45.940954;0517261260;accueil-tprx-rochefort-sur-mer@justice.fr
TBRTJ;17197;9;63817;Tribunal Paritaire des Baux Ruraux de Jonzac;35 RUE DES CARMES;;17500;JONZAC;;-0.43469;45.442765;0546480240;
TPRX;17197;9;63013;Tribunal de proximité de Jonzac;35 RUE DES CARMES;;17500;JONZAC;;-0.43469;45.442765;0517283957;tprx-jonzac@justice.fr
TE;18033;1;2290;Tribunal pour Enfants de Bourges;8 RUE DES ARENES;;18000;BOURGES;;2.392876;47.084881;0248683434;
TGI;18033;1;68;Tribunal judiciaire de Bourges;8 RUE DES ARENES;;18000;BOURGES;;2.392876;47.084881;0248683434;accueil-bourges@justice.fr
CA;18033;1;3;Cour d'Appel de Bourges;8 RUE DES ARENES;;18000;BOURGES;;2.392876;47.084881;0248683400;ca-bourges@justice.fr
CASS;18033;1;1903;Cour d'Assises du Cher;8 RUE DES ARENES;;18000;BOURGES;;2.392876;47.084881;0248683400;
CCD;18033;9;62842;Cour Criminelle Départementale du Cher;8 RUE DES ARENES;;18000;BOURGES;;2.392876;47.084881;0248683400;
CDAD;18033;9;58967;Conseil départemental d'accès au droit du Cher;8 RUE DES ARENES;;18000;BOURGES;;2.392876;47.084881;0248683383;cdad-cher@justice.fr
CPH;18033;1;986;Conseil de Prud'hommes de Bourges;1 PLACE HENRI MIRPIED;;18000;BOURGES;;2.392874;47.086254;0248230120;cph-bourges@justice.fr
TBRTJ;18033;9;63419;Tribunal Paritaire des Baux Ruraux de Bourges;1 RUE DU GENERAL FERRIE;;18000;BOURGES;;2.393709;47.092114;0234346020;
TCO;18033;1;275;Tribunal de Commerce de Bourges;1 PLACE HENRI MIRPIED;;18000;BOURGES;;2.392874;47.086254;0248700733;
TBRTJ;18197;9;63421;Tribunal Paritaire des Baux Ruraux de Saint-Amand-Montrond;11 COURS MANUEL;;18200;ST AMAND MONTROND;;2.505592;46.720845;0248960848;
TPRX;18197;9;62955;Tribunal de proximité de Saint-Amand-Montrond;11 COURS MANUEL;;18200;ST AMAND MONTROND;;2.505592;46.720845;0248960848;tprx-st-amand-montrond@justice.fr
TGI;19272;9;48314;Tribunal judiciaire de Tulle;9 QUAI GABRIEL PERI;;19000;TULLE;;1.770556;45.265574;0555202401;accueil-tulle@justice.fr
CASS;19272;9;2227;Cour d'Assises de la Corrèze;QUAI GABRIEL PERI;;19000;TULLE;;1.770049;45.264544;0555202401;
CCD;19272;9;67396;Cour Criminelle Départementale de la Corrèze;QUAI GABRIEL PERI;;19000;TULLE;;1.770049;45.264544;05 55 20 24 01;
CDAD;19272;9;59039;Conseil départemental d'accès au droit de la Corrèze;1 QUAI GABRIEL PERI;;19000;TULLE;;1.771071;45.266148;0587496205;
TBRTJ;19272;9;63841;Tribunal Paritaire des Baux Ruraux de Tulle;QUAI GABRIEL PERI;;19000;TULLE;;1.770049;45.264544;0555267116;
CPH;19272;1;989;Conseil de Prud'hommes de Tulle;9 QUAI GABRIEL PERI PALAIS DE JUSTICE;;19000;TULLE;;1.770049;45.264544;0555202401;cph-tulle@justice.fr
TE;19031;1;2297;Tribunal pour Enfants de Brive-la-Gaillarde;BOULEVARD DU MARECHAL LYAUTEY;;19100;BRIVE LA GAILLARDE;;1.532468;45.156715;0555742732;
TGI;19031;1;69;Tribunal judiciaire de Brive-la-Gaillarde;BOULEVARD DU MARECHAL LYAUTEY;;19100;BRIVE LA GAILLARDE;;1.532468;45.156715;0587493200;accueil-brive-la-gaillarde@justice.fr
CPH;19031;1;988;Conseil de Prud'hommes de Brive-la-Gaillarde;6 RUE SAINT BERNARD;;19100;BRIVE LA GAILLARDE;;1.531401;45.157549;0587493200;cph-brive-la-gaillarde@justice.fr
TBRTJ;19031;9;63839;Tribunal Paritaire des Baux Ruraux de Brive-la-Gaillarde;6 RUE ST BERNARD;;19100;BRIVE LA GAILLARDE;;1.531401;45.157549;0555926739;
TCO;19031;1;276;Tribunal de Commerce de Brive-la-Gaillarde;6 RUE SAINT BERNARD;;19100;BRIVE LA GAILLARDE;;1.531401;45.157549;0555177676;
TE;2A004;1;2313;Tribunal pour Enfants d'Ajaccio;4 BOULEVARD MASSERIA;;20090;AJACCIO;;8.737213;41.925745;0495237772;
TGI;2A004;1;71;Tribunal judiciaire d'Ajaccio;4 BOULEVARD MASSERIA;;20090;AJACCIO;;8.737213;41.925745;0495290606;accueil.tj-ajaccio@justice.fr
CASS;2A004;9;2224;Cour d'Assises de la Corse-du-Sud;BOULEVARD MASSERIA;;20090;AJACCIO;;8.73697;41.925679;0495290606;
CCD;2A004;9;67397;Cour Criminelle Départementale de la Corse-du-Sud;BOULEVARD MASSERIA;;20090;AJACCIO;;8.73697;41.925679;04 95 29 06 06;
CDAD;2A004;9;58946;Conseil départemental d'accès au droit de Corse du Sud;AVENUE DU MARECHAL LYAUTEY;;20090;AJACCIO;;8.74588;41.93975;;cdad-corse-du-sud@justice.fr
CPH;2A004;1;990;Conseil de Prud'hommes d'Ajaccio;AVENUE DU MARECHAL LYAUTEY;;20090;AJACCIO;;8.74588;41.93975;0495237395;cph-ajaccio@justice.fr
TBRTJ;2A004;9;63429;Tribunal Paritaire des Baux Ruraux d'Ajaccio;AVENUE DU MARECHAL LYAUTEY;;20090;AJACCIO;;8.74588;41.93975;0495237760;
TCO;2A004;1;278;Tribunal de Commerce d'Ajaccio;AVENUE DU MARECHAL LYAUTEY;;20090;AJACCIO;;8.74588;41.93975;0495231782;
TE;2B033;1;2320;Tribunal pour Enfants de Bastia;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495552300;
TGI;2B033;1;72;Tribunal judiciaire de Bastia;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495552300;accueil-bastia@justice.fr
CA;2B033;1;4;Cour d'Appel de Bastia;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495552300;
CASS;2B033;1;1908;Cour d'Assises de la Haute-Corse;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495552300;
CCD;2B033;9;67412;Cour Criminelle Départementale de la Haute-Corse;ROND POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;04 95 55 23 00;
CDAD;2B033;9;58959;Conseil départemental d'accès au droit de Haute Corse;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495552300;cdad-haute-corse@justice.fr
CPH;2B033;1;991;Conseil de Prud'hommes de Bastia;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495553300;cph-bastia@justice.fr
TA;2B033;9;3908;Tribunal Administratif de Bastia;VILLA MONTEPIANO;;20200;BASTIA;;9.450748;42.702137;0495328866;greffe.ta-bastia@juradm.fr
TBRTJ;2B033;9;63431;Tribunal Paritaire des Baux Ruraux de Bastia;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495552300;
TCO;2B033;1;279;Tribunal de Commerce de Bastia;ROND-POINT DE MORO GIAFFERI;;20200;BASTIA;;9.446524;42.695637;0495348470;
TE;21231;1;2327;Tribunal pour Enfants de Dijon;13 BOULEVARD CLEMENCEAU;;21000;DIJON;;5.048393;47.327804;0380704500;
TGI;21231;1;73;Tribunal judiciaire de Dijon;13 BOULEVARD CLEMENCEAU;;21000;DIJON;;5.048393;47.327804;0380704500;accueil-dijon@justice.fr
CA;21231;1;5;Cour d'Appel de Dijon;8 RUE AMIRAL ROUSSIN;;21000;DIJON;;5.041711;47.320421;0380446100;
